Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
DAHISAR,153,CHAUDHARY MANISHA ASHOK,"Bharatiya Janata Party
i",GHOSALKAR VINOD RAMCHANDRA,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",44329,22/22,Result Declared
DAPOLI,263,KADAM YOGESHDADA RAMDAS,"Shiv Sena
i",KADAM SANJAY VASANT,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",24093,28/28,Result Declared
DARYAPUR,40,GAJANAN MOTIRAM LAWATE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",BUNDILE RAMESH GANPATRAO,"Rashtriya Yuva Swabhiman Party
i",19709,25/25,Result Declared
DAUND,199,KUL RAHUL SUBHASHRAO,"Bharatiya Janata Party
i",RAMESHAPPA KISANRAO THORAT,"Nationalist Congress Party – Sharadchandra Pawar
i",13889,23/23,Result Declared
DEGLUR,90,ANTAPURKAR JITESH RAOSAHEB,"Bharatiya Janata Party
i",NIVRUTTI KONDIBA KAMBLE SANGVIKAR,"Indian National Congress
i",42999,26/26,Result Declared
DEOLALI,126,AHIRE SAROJ BABULAL,"Nationalist Congress Party
i",DR. AHIRRAO RAJASHRI TAHASILDARTAI,"Shiv Sena
i",40679,20/20,Result Declared
DEOLI,45,RAJESH BHAURAO BAKANE,"Bharatiya Janata Party
i",RANJIT PRATAPRAO KAMBLE,"Indian National Congress
i",9308,24/24,Result Declared
DHAMANGAON RAILWAY,36,ADSAD PRATAP ARUNBHAU,"Bharatiya Janata Party
i",JAGTAP VIRENDRA WALMIKRAO,"Indian National Congress
i",16228,27/27,Result Declared
DHARAVI,178,DR. GAIKWAD JYOTI EKNATH,"Indian National Congress
i",RAJESH SHIVDAS KHANDARE,"Shiv Sena
i",23459,19/19,Result Declared
DHULE CITY,7,AGRAWAL ANUPBHAIYYA OMPRAKASH,"Bharatiya Janata Party
i",SHAH FARUK ANWAR,"All India Majlis-E-Ittehadul Muslimeen
i",45750,21/21,Result Declared
DHULE RURAL,6,RAGHAVENDRA (RAMDADA) MANOHAR PATIL,"Bharatiya Janata Party
i",KUNALBABA ROHIDAS PATIL,"Indian National Congress
i",66320,28/28,Result Declared
DIGRAS,79,RATHOD SANJAY DULICHAND,"Shiv Sena
i",THAKARE MANIKRAO GOVINDRAO,"Indian National Congress
i",28775,29/29,Result Declared
DINDORI,122,NARAHARI SITARAM ZIRWAL,"Nationalist Congress Party
i",CHAROSKAR SUNITA RAMDAS,"Nationalist Congress Party – Sharadchandra Pawar
i",44403,32/32,Result Declared
DINDOSHI,159,SUNIL WAMAN PRABHU,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",SANJAY NIRUPAM,"Shiv Sena
i",6182,21/21,Result Declared
DOMBIVALI,143,CHAVAN RAVINDRA DATTATRAY,"Bharatiya Janata Party
i",DIPESH PUNDLIK MHATRE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",77106,21/21,Result Declared
ERANDOL,16,AMOL CHIMANRAO PATIL,"Shiv Sena
i",ANNASAHEB DR. SATISH BHASKARRAO PATIL,"Nationalist Congress Party – Sharadchandra Pawar
i",56332,22/22,Result Declared
GADCHIROLI,68,DR. MILIND RAMJI NAROTE,"Bharatiya Janata Party
i",MANOHAR TULSHIRAM PORETI,"Indian National Congress
i",15505,26/26,Result Declared
GANGAKHED,97,GUTTE RATNAKAR MANIKRAO,"Rashtriya Samaj Paksha
i",KADAM VISHAL VIJAYKUMAR,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",26292,31/31,Result Declared
GANGAPUR,111,BUMB PRASHANT BANSILAL,"Bharatiya Janata Party
i",CHAVAN SATISH BHANUDASRAO,"Nationalist Congress Party – Sharadchandra Pawar
i",5015,27/27,Result Declared
GEORAI,228,VIJAYSINH SHIVAJIRAO PANDIT,"Nationalist Congress Party
i",BADAMRAO LAHURAO PANDIT,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",42390,29/29,Result Declared
GHANSAWANGI,100,UDHAN HIKMAT BALIRAM,"Shiv Sena
i",RAJESHBHAIYYA TOPE,"Nationalist Congress Party – Sharadchandra Pawar
i",2309,26/26,Result Declared
GHATKOPAR EAST,170,PARAG SHAH,"Bharatiya Janata Party
i",JADHAV RAKHEE HARISHCHANDRA,"Nationalist Congress Party – Sharadchandra Pawar
i",34999,19/19,Result Declared
GHATKOPAR WEST,169,RAM KADAM,"Bharatiya Janata Party
i",SANJAY DATTATRAY BHALERAO,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",12971,21/21,Result Declared
GONDIYA,65,AGRAWAL VINOD,"Bharatiya Janata Party
i",AGRAWAL GOPALDAS SHANKARLAL,"Indian National Congress
i",61608,26/26,Result Declared
GOREGAON,163,VIDYA THAKUR,"Bharatiya Janata Party
i",SAMEER KAMLAKAR DESAI,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",23600,26/26,Result Declared
GUHAGAR,264,JADHAV BHASKAR BHAURAO,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",BENDAL RAJESH RAMCHANDRA,"Shiv Sena
i",2830,23/23,Result Declared
HADAPSAR,213,CHETAN VITTHAL TUPE,"Nationalist Congress Party
i",PRASHANT SUDAM JAGTAP,"Nationalist Congress Party – Sharadchandra Pawar
i",7122,23/23,Result Declared
HADGAON,84,KOHLIKAR BABURAO KADAM,"Shiv Sena
i",JAWALGAVKAR MADHAVRAO NIVRUTTIRAO PATIL,"Indian National Congress
i",30067,25/25,Result Declared
HATKANANGLE,278,DALITMITRA DR.ASHOKRAO MANE(BAPU,"Jan Surajya Shakti
i",AWALE RAJU(BABA) JAYWANTRAO,"Indian National Congress
i",46249,21/21,Result Declared
HINGANGHAT,46,SAMIR TRYAMBAKRAO KUNAWAR,"Bharatiya Janata Party
i",ATUL NAMDEVRAO WANDILE,"Nationalist Congress Party – Sharadchandra Pawar
i",30094,27/27,Result Declared
HINGNA,50,SAMEER DATTATRAYA MEGHE,"Bharatiya Janata Party
i",RAMESHCHANDRA GOPIKISAN BANG,"Nationalist Congress Party – Sharadchandra Pawar
i",78931,24/24,Result Declared
HINGOLI,94,MUTKULE TANHAJI SAKHARAMJI,"Bharatiya Janata Party
i",RUPALITAI RAJESH PATIL,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",10926,25/25,Result Declared
ICHALKARANJI,279,RAHUL PRAKASH AWADE,"Bharatiya Janata Party
i",MADAN SITARAM KARANDE,"Nationalist Congress Party – Sharadchandra Pawar
i",56811,20/20,Result Declared
IGATPURI,127,KHOSKAR HIRAMAN BHIKA,"Nationalist Congress Party
i",LUCKYBHAU BHIKA JADHAV,"Indian National Congress
i",86581,22/22,Result Declared
INDAPUR,200,DATTATRAYA VITHOBA BHARANE,"Nationalist Congress Party
i",HARSHVARDHAN SHAHAJIRAO PATIL,"Nationalist Congress Party – Sharadchandra Pawar
i",19410,26/26,Result Declared
ISLAMPUR,283,JAYANT RAJARAM PATIL,"Nationalist Congress Party – Sharadchandra Pawar
i",NISHIKANT PRAKASH BHOSALE-PATIL,"Nationalist Congress Party
i",13027,21/21,Result Declared
JALGAON (JAMOD),27,KUTE SANJAY SHRIRAM,"Bharatiya Janata Party
i",DR SWATI SANDIP WAKEKAR,"Indian National Congress
i",18771,24/24,Result Declared
JALGAON CITY,13,SURESH DAMU BHOLE (RAJU MAMA),"Bharatiya Janata Party
i",JAYASHRI SUNIL MAHAJAN,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",87503,19/19,Result Declared
JALGAON RURAL,14,GULABRAO RAGHUNATH PATIL,"Shiv Sena
i",GULABRAO BABURAO DEOKAR,"Nationalist Congress Party – Sharadchandra Pawar
i",59232,26/26,Result Declared
JALNA,101,ARJUN PANDITRAO KHOTKAR,"Shiv Sena
i",KAILAS KISANRAO GORANTYAL,"Indian National Congress
i",31651,24/24,Result Declared
JAMNER,19,GIRISH DATTATRAY MAHAJAN,"Bharatiya Janata Party
i",KHODAPE DILIP BALIRAM (SIR),"Nationalist Congress Party – Sharadchandra Pawar
i",26885,25/25,Result Declared
JAT,288,GOPICHAND KUNDLIK PADALKAR,"Bharatiya Janata Party
i",VIKRAMSINH BALASO SAWANT,"Indian National Congress
i",38240,23/23,Result Declared
JINTUR,95,BORDIKAR MEGHNA DEEPAK SAKORE,"Bharatiya Janata Party
i",BHAMBLE VIJAY MANIKRAO,"Nationalist Congress Party – Sharadchandra Pawar
i",4516,32/32,Result Declared
JOGESHWARI EAST,158,ANANT (BALA) B. NAR,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",MANISHA RAVINDRA WAIKAR,"Shiv Sena
i",1541,21/21,Result Declared
JUNNAR,195,SHARADDADA BHIMAJI SONAWANE,"Independent
i",SATYASHIL SOPANSHETH SHERKAR,"Nationalist Congress Party – Sharadchandra Pawar
i",6664,21/21,Result Declared
KAGAL,273,MUSHRIF HASAN MIYALAL,"Nationalist Congress Party
i",GHATGE SAMARJEETSINH VIKRAMSINH,"Nationalist Congress Party – Sharadchandra Pawar
i",11581,26/26,Result Declared
KAIJ,232,NAMITA AKSHAY MUNDADA,"Bharatiya Janata Party
i",PRUTHVIRAJ SHIVAJI SATHE,"Nationalist Congress Party – Sharadchandra Pawar
i",2687,30/30,Result Declared
KALAMNURI,93,BANGAR SANTOSH LAXMANRAO,"Shiv Sena
i",DR. SANTOSH KAUTIKA TARFE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",31083,26/26,Result Declared
KALINA,175,SANJAY GOVIND POTNIS,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",AMARJEET AWADHNARAYAN SINGH,"Bharatiya Janata Party
i",5008,17/17,Result Declared
KALWAN,117,NITINBHAU ARJUN (A.T.) PAWAR,"Nationalist Congress Party
i",GAVIT COM. JIVA PANDU,"Communist Party of India (Marxist)
i",8432,25/25,Result Declared
KALYAN EAST,142,SULBHA GANPAT GAIKWAD,"Bharatiya Janata Party
i",MAHESH DASHRATH GAIKWAD,"Independent
i",26408,24/24,Result Declared
KALYAN RURAL,144,RAJESH GOVARDHAN MORE,"Shiv Sena
i",PRAMOD (RAJU) RATAN PATIL,"Maharashtra Navnirman sena
i",66396,32/32,Result Declared
KALYAN WEST,138,VISHWANATH ATMARAM BHOIR,"Shiv Sena
i",BASARE SACHIN DILIP,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",42454,23/23,Result Declared
KAMTHI,58,CHANDRASHEKHAR KRUSHNARAO BAWANKULE,"Bharatiya Janata Party
i",SURESH YADAVRAO BHOYAR,"Indian National Congress
i",40946,28/28,Result Declared
KANDIVALI EAST,160,ATUL BHATKHALKAR,"Bharatiya Janata Party
i",KALU BUDHELIA,"Indian National Congress
i",83593,19/19,Result Declared
KANKAVLI,268,NITESH NARAYAN RANE,"Bharatiya Janata Party
i",SANDESH BHASKAR PARKAR,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",58007,24/24,Result Declared
KANNAD,105,RANJANATAI (SANJANA) HARSHVARDHAN JADHAV,"Shiv Sena
i",JADHAV HARSHWARDHAN RAIBHAN,"Independent
i",18201,27/27,Result Declared
KARAD NORTH,259,MANOJ BHIMRAO GHORPADE,"Bharatiya Janata Party
i",PATIL BALASAHEB URF SHAMRAO PANDURANG,"Nationalist Congress Party – Sharadchandra Pawar
i",43691,26/26,Result Declared
KARAD SOUTH,260,DR ATULBABA SURESH BHOSALE,"Bharatiya Janata Party
i",CHAVAN PRITHVIRAJ DAJISAHEB,"Indian National Congress
i",39355,18/18,Result Declared
KARANJA,35,SAI PRAKASH DAHAKE,"Bharatiya Janata Party
i",PATNI GYAYAK RAJENDRA,"Nationalist Congress Party – Sharadchandra Pawar
i",35073,26/26,Result Declared
KARJAT,189,THORVE MAHENDRA SADASHIV,"Shiv Sena
i",SUDHAKAR PARSHURAM GHARE,"Independent
i",5694,26/26,Result Declared
KARJAT JAMKHED,227,ROHIT PAWAR,"Nationalist Congress Party – Sharadchandra Pawar
i",PROF. RAM SHANKAR SHINDE,"Bharatiya Janata Party
i",1243,27/27,Result Declared
KARMALA,244,NARAYAN (ABA) GOVINDRAO PATIL,"Nationalist Congress Party – Sharadchandra Pawar
i",SHINDE SANJAYMAMA VITHALRAO,"Independent
i",16085,25/25,Result Declared
KARVIR,275,CHANDRADEEP SHASHIKANT NARAKE,"Shiv Sena
i",RAHUL P. N. PATIL (SADOLIKAR),"Indian National Congress
i",1976,26/26,Result Declared
KASBA PETH,215,HEMANT NARAYAN RASANE,"Bharatiya Janata Party
i",DHANGEKAR RAVINDRA HEMRAJ,"Indian National Congress
i",19423,20/20,Result Declared
KATOL,48,CHARANSING BABULALJI THAKUR,"Bharatiya Janata Party
i",DESHMUKH SALIL ANILBABU,"Nationalist Congress Party – Sharadchandra Pawar
i",38816,17/17,Result Declared
KHADAKWASALA,211,BHIMRAO DHONDIBA TAPKIR,"Bharatiya Janata Party
i",DODKE SACHIN SHIVAJIRAO,"Nationalist Congress Party – Sharadchandra Pawar
i",52322,25/25,Result Declared
KHAMGAON,26,AKASH PANDURANG FUNDKAR,"Bharatiya Janata Party
i",RANA DILIPKUMAR GOKULCHAND SANANDA,"Indian National Congress
i",25477,24/24,Result Declared
KHANAPUR,286,BABAR SUHAS ANILBHAU,"Shiv Sena
i",VAIBHAVDADA SADASHIVRAO PATIL,"Nationalist Congress Party – Sharadchandra Pawar
i",78181,19/19,Result Declared
KHED ALANDI,197,BABAJI RAMCHANDRA KALE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",DILIP DATTATRAY MOHITE,"Nationalist Congress Party
i",51743,20/20,Result Declared
KINWAT,83,BHIMRAO RAMJI KERAM,"Bharatiya Janata Party
i",JADHAV PRADEEP NAIK,"Nationalist Congress Party – Sharadchandra Pawar
i",5636,24/24,Result Declared
KOLHAPUR NORTH,276,RAJESH VINAYAK KSHIRSAGAR,"Shiv Sena
i",RAJESH BHARAT LATKAR,"Independent
i",29563,23/23,Result Declared
KOLHAPUR SOUTH,274,AMAL MAHADEVRAO MAHADIK,"Bharatiya Janata Party
i",RUTURAJ SANJAY PATIL,"Indian National Congress
i",17630,24/24,Result Declared
KOPARGAON,219,ASHUTOSH ASHOKRAO KALE,"Nationalist Congress Party
i",VARPE SANDEEP GORAKSHANATH,"Nationalist Congress Party – Sharadchandra Pawar
i",124624,20/20,Result Declared
KOPRI - PACHPAKHADI,147,EKNATH SAMBHAJI SHINDE,"Shiv Sena
i",KEDAR PRAKASH DIGHE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",120717,28/28,Result Declared
KOREGAON,257,MAHESH SAMBHAJIRAJE SHINDE,"Shiv Sena
i",SHASHIKANT JAYWANT SHINDE,"Nationalist Congress Party – Sharadchandra Pawar
i",45063,19/19,Result Declared
KOTHRUD,210,CHANDRAKANT (DADA) BACHHU PATIL,"Bharatiya Janata Party
i",CHANDRAKANT BALBHIM MOKATE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",112041,21/21,Result Declared
